fedcba abcdeddfgchcidjidjcgjkiilmmdnocgep
fedbca abcdeddaafbbcgccgcfhcijfklfdmlfnco
fedbac abccdecafgbheiceicgfcjkglmgcnmgocp
fedabc abccdecafebgheaheaehaihhjbbckgehdl
fedacb abcdefdaafbbcfgcfgfcghcdibjdkbfclm
fedcab abcdefdghcicfdjfdjchjkfdlmndomchpp
fecdba abcdeddfgchciijiijcgjkdilmndlmcgoe
fecdab abcdefdghcicffjffjchjkddlmmdlnchee
fecbda abcdefdaaeccbgebgeegbhdbijcdckelbm
fecbad abcdefdagehcbgebgeegdiddjccdhjefdk
fecadb abcddedaafccbbgbbgfbhifjkfldlmfbno
fecabd abcddedafghcbbibbigbajgklgmdmngboe
febdca abcdeddfagbhciccicgacjkglmgdnmgoce
febdac abccdecffgbbehcehcgacijgklgcmlgncd
febcda abcbdebfadgchadhaddahihhjccbgkdehl
febcad abcbdebffdccgadgaddabhgbijcbcidkbl
febadc abcddedfgbbhijdijdbjfkiilmmdnobefp
febacd abcddedfgbbhijiijibjfkidlmndnlbofe
feadcb abcdefdgafbhcfgcfgfdgiddjbbdjhfdek
feadbc abccdecffebbgeageaecahcgibjcibeckl
feabdc abcdefdghbbiejdejdbjgkdelmndnobpgp
feabcd abcdefdghbbiejeejebjgkddlmmdnlbfgf
feacbd abcbdebffgccdbhdbhgbaigjkglblmgbne
feacdb abcbdebfaghcdbidbigbfjgklgmbmngbop
